date,normal_care,intensive_care,admissions_ma7,discharges_ma7
2020-03-16,0,0,4,4
2020-03-17,0,0,5,3
2020-03-18,0,0,5,3
2020-03-19,1,0,7,2
2020-03-20,18,3,7,3
2020-03-21,56,6,8,3
2020-03-22,63,5,9,3
2020-03-23,71,7,12,3
2020-03-24,97,9,14,4
2020-03-25,128,21,16,4
2020-03-26,120,26,18,5
2020-03-27,128,26,20,6
2020-03-28,152,29,22,7
2020-03-29,160,27,21,7
2020-03-30,156,30,22,9
2020-03-31,163,32,22,11
2020-04-01,166,33,21,12
2020-04-02,184,40,20,12
2020-04-03,183,45,20,14
2020-04-04,190,43,18,15
2020-04-05,177,43,18,16
2020-04-06,180,41,17,16
2020-04-07,179,41,17,16
2020-04-08,189,43,15,16
2020-04-09,185,39,14,16
2020-04-10,186,38,13,17
2020-04-11,172,40,13,16
2020-04-12,183,40,13,15
2020-04-13,161,42,11,15
2020-04-14,163,43,10,16
2020-04-15,144,44,10,16
2020-04-16,157,41,11,17
2020-04-17,141,39,11,16
2020-04-18,152,40,10,16
2020-04-19,148,39,10,15
2020-04-20,149,39,13,16
2020-04-21,147,38,12,14
2020-04-22,143,35,11,14
2020-04-23,133,30,10,13
2020-04-24,129,30,10,13
2020-04-25,119,28,9,12
2020-04-26,121,25,9,13
2020-04-27,112,24,8,11
