date,normal_care,intensive_care,admissions_ma7,discharges_ma7
2020-03-16,0,0,6,0
2020-03-17,0,0,6,0
2020-03-18,0,0,6,0
2020-03-19,1,0,8,0
2020-03-20,18,3,8,0
2020-03-21,56,6,9,1
2020-03-22,63,5,10,1
2020-03-23,71,7,12,1
2020-03-24,97,9,14,2
2020-03-25,128,21,17,4
2020-03-26,120,26,18,6
2020-03-27,128,26,21,7
2020-03-28,152,29,23,8
2020-03-29,160,27,22,9
2020-03-30,156,30,23,10
2020-03-31,163,32,23,12
2020-04-01,166,33,22,14
2020-04-02,184,40,21,17
2020-04-03,183,45,20,19
2020-04-04,190,43,19,24
2020-04-05,177,43,18,25
2020-04-06,180,41,17,30
2020-04-07,179,41,17,33
2020-04-08,189,43,15,33
2020-04-09,185,39,14,32
2020-04-10,186,38,13,34
2020-04-11,172,40,13,32
2020-04-12,183,40,13,31
2020-04-13,161,42,11,27
2020-04-14,163,43,11,25
2020-04-15,144,44,10,26
2020-04-16,157,41,11,26
2020-04-17,141,39,12,23
2020-04-18,151,41,11,21
2020-04-19,148,40,12,24
2020-04-20,149,40,13,24
2020-04-21,147,39,14,26
2020-04-22,143,36,12,24
