date,cases_active,recovered
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,18,0
2020-03-13,42,0
2020-03-14,63,0
2020-03-15,63,0
2020-03-16,97,0
2020-03-17,221,0
2020-03-18,379,0
2020-03-19,522,0
2020-03-20,696,0
2020-03-21,816,1
2020-03-22,837,1
2020-03-23,1079,1
2020-03-24,1273,1
2020-03-25,1438,4
2020-03-26,1701,5
2020-03-27,1878,19
2020-03-28,1979,44
2020-03-29,1996,64
2020-03-30,2166,64
2020-03-31,2246,96
2020-04-01,2331,198
2020-04-02,2314,342
2020-04-03,2297,476
2020-04-04,2204,638
2020-04-05,2118,758
2020-04-06,2176,774
2020-04-07,2038,994
2020-04-08,1931,1178
2020-04-09,1844,1335
2020-04-10,1657,1566
2020-04-11,1484,1746
2020-04-12,1380,1865
2020-04-13,1343,1902
2020-04-14,1248,2067
2020-04-15,1183,2182
2020-04-16,1044,2365
2020-04-17,975,2486
2020-04-18,875,2603
2020-04-19,810,2675
2020-04-20,793,2721
2020-04-21,756,2802
2020-04-22,693,2883
2020-04-23,632,2961
2020-04-24,584,3026
2020-04-25,542,3084
2020-04-26,535,3100
2020-04-27,531,3120
2020-04-28,547,3133
2020-04-29,482,3212
2020-04-30,445,3265
2020-05-01,404,3316
2020-05-02,350,3378
2020-05-03,328,3404
2020-05-04,332,3412
