date,normal_care,intensive_care,admissions_ma7,discharges_ma7
2020-03-16,0,0,,
2020-03-17,0,0,,
2020-03-18,0,0,,
2020-03-19,1,0,,
2020-03-20,18,3,,
2020-03-21,56,6,,
2020-03-22,63,5,,
2020-03-23,71,7,,
2020-03-24,97,9,,
2020-03-25,128,21,,
2020-03-26,120,26,,
2020-03-27,128,26,,
2020-03-28,152,29,,
2020-03-29,160,27,,
2020-03-30,156,30,,
2020-03-31,163,32,,
2020-04-01,166,33,,
2020-04-02,184,40,,
2020-04-03,183,45,,
2020-04-04,190,43,,
2020-04-05,177,43,,
2020-04-06,180,41,,
2020-04-07,179,41,,
2020-04-08,189,43,,
2020-04-09,185,39,,
2020-04-10,186,38,,
2020-04-11,172,40,,
2020-04-12,183,40,,
2020-04-13,161,42,,
2020-04-14,163,43,,
2020-04-15,144,44,,
2020-04-16,157,41,,
2020-04-17,141,39,,
2020-04-18,152,40,,
2020-04-19,148,39,,
2020-04-20,149,39,,
2020-04-21,147,38,,
2020-04-22,143,35,,
2020-04-23,133,30,,
2020-04-24,129,30,,
2020-04-25,119,28,,
2020-04-26,124,27,,
