date,date_published,cases,cases_residents,cases_nonresidents,cases_new,cases_residents_prop,cases_nonresidents_prop,cases_sex_f_prop,cases_sex_m_prop,cases_sex_x_prop,cases_sex_u_prop,cases_age_mean,active,recovered,tests,tests_residents,tests_nonresidents,tests_new,tests_residents_prop,tests_nonresidents_prop,tests_sex_f_prop,tests_sex_m_prop,tests_sex_x_prop,tests_sex_u_prop,deaths,deaths_transfer,deaths_new,deaths_hospital_prop,deaths_nonhospital_prop,deaths_sex_f_prop,deaths_sex_m_prop,deaths_sex_x_prop,deaths_sex_u_prop,deaths_age_mean,deaths_age_median,deaths_age_min,deaths_age_max,hospital_total,hospital_normal,hospital_intensive,hospital_total_all,hospital_normal_all,hospital_intensive_all,hospital_total_transfer,hospital_normal_transfer,hospital_intensive_transfer,hospital_discharges,hospital_discharges_new_all,hospital_discharges_new,reproduction_number_effective,reproduction_number_effective_low,reproduction_number_effective_high,reproduction_number,reproduction_number_low,reproduction_number_high,state,cases_new_ma7,hospital_admissions_new_ma7,hospital_discharges_new_ma7
2020-03-15,2020-05-08T17:30:00.000+02:00,66,,,0,,,,,,,,63,0,678,,,24,,,,,,,0,,,,,,,,,,,,,0,0,0,,,0,,,0,,,,,,,,,,local,,,1
2020-03-16,2020-05-08T17:30:00.000+02:00,99,,,33,,,,,,,,99,0,1098,,,420,,,,,,,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,4,,,,,,,local,14,3,4
2020-03-17,2020-05-08T17:30:00.000+02:00,221,,,122,,,,,,,,221,0,1748,,,650,,,,,,,2,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,local,31,4,2
2020-03-18,2020-05-08T17:30:00.000+02:00,379,,,158,,,,,,,,379,0,2698,,,950,,,,,,,2,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,6,0,3,,,,1.484,1.28,1.689,local,53,3,2
2020-03-19,2020-05-08T17:30:00.000+02:00,522,,,143,,,,,,,,522,0,3669,,,971,,,,,,,3,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,,0,0,,,,1.776,1.583,1.97,local,72,5,2
2020-03-20,2020-05-08T17:30:00.000+02:00,697,,,175,,,,,,,,696,0,4777,,,1108,,,,,,,5,,,,,,,,,,,,,21,18,3,21,18,3,0,0,0,,0,2,,,,1.697,1.522,1.871,local,93,6,2
2020-03-21,2020-05-09T17:30:00.000+02:00,824,,,127,,,,,,,,816,1,5259,,,482,,,,,,,6,,,,,,,,,,,,,62,56,6,62,56,6,0,0,0,,8,3,,,,1.691,1.528,1.855,local,108,7,2
2020-03-22,2020-05-08T17:30:00.000+02:00,845,,,21,,,,,,,,837,1,5280,,,21,,,,,,,6,,,,,,,,,,,,,65,63,2,68,63,5,3,0,3,,0,5,,,,1.644,1.488,1.801,local,111,8,2
2020-03-23,2020-05-08T17:30:00.000+02:00,1087,,,242,,,,,,,,1079,1,6477,,,1197,,,,,,,6,,,,,,,,,,,,,73,71,2,78,71,7,5,0,5,,2,6,,,,1.636,1.471,1.801,local,141,10,3
2020-03-24,2020-05-08T17:30:00.000+02:00,1281,,,194,,,,,,,,1273,1,7454,,,977,,,,,,,6,,,,,,,,,,,,,99,97,2,106,97,9,7,0,7,,4,2,,,,1.467,1.326,1.607,local,151,12,3
2020-03-25,2020-05-09T17:30:00.000+02:00,1451,,,170,,,,,,,,1439,4,8441,,,987,,,,,,,8,,,,,,,,,,,,,142,128,14,149,128,21,7,0,7,,11,3,,,,1.419,1.28,1.559,local,153,15,3
2020-03-26,2020-05-09T17:30:00.000+02:00,1714,,,263,,,0.46,0.54,,,46.0,1701,5,13926,,,5485,,,,,,,9,,,,,,,,,80.0,,53,,140,120,20,146,120,26,6,0,6,40,14,11,,,,1.108,0.972,1.243,local,170,16,4
2020-03-27,2020-05-08T17:30:00.000+02:00,1910,,,196,,,,,,,,1878,19,15164,,,1238,,,,,,,14,,,,,,,,,,,,,148,128,20,154,128,26,6,0,6,,13,4,,,,1.151,1.012,1.29,local,173,18,5
2020-03-28,2020-05-08T17:30:00.000+02:00,2037,,,127,,,,,,,,1979,44,16136,,,972,,,,,,,17,,,,,,,,,,,,,175,152,23,181,152,29,6,0,6,,9,7,,,,1.337,1.224,1.451,local,173,19,5
2020-03-29,2020-05-08T17:30:00.000+02:00,2081,1733,255,44,0.87173,0.12827,,,,,,1996,64,16457,,,321,,,,,,,21,,,,,,,,,,,,,181,160,21,187,160,27,6,0,6,80,13,1,,,,1.26,1.162,1.358,local,177,19,5
2020-03-30,2020-05-08T17:30:00.000+02:00,2252,1883,295,171,0.86455,0.13545,,,,,,2166,64,17670,,,1213,,,,,,,22,,,,,,,,,,,,,180,156,24,186,156,30,6,0,6,,4,19,,,,1.203,1.111,1.296,local,166,19,7
2020-03-31,2020-05-08T17:30:00.000+02:00,2364,1922,327,112,0.85899,0.14101,,,,,,2246,96,18784,,,1114,,,,,,,26,,,,,,,,,,,,,189,163,26,195,163,32,6,0,6,,21,16,,,,1.193,1.117,1.27,local,155,20,9
2020-04-01,2020-05-09T17:30:00.000+02:00,2555,2099,388,191,0.84399,0.15601,,,,,,2331,198,20194,,,1410,,,,,,,27,,,,,,,,,,,,,193,166,27,199,166,33,6,0,6,,26,11,,,,1.134,1.063,1.205,local,158,19,10
2020-04-02,2020-05-08T17:30:00.000+02:00,2684,2201,401,129,0.84589,0.15735,0.49,0.51,,,46.0,2314,342,21618,17925,3538,1424,0.835158,0.164842,,,,,28,1,,,,,,,,,86.0,,,214,184,30,224,184,40,10,0,10,174,31,9,,,,1.144,1.077,1.211,local,139,19,10
2020-04-03,2020-05-08T17:30:00.000+02:00,2801,2291,438,117,0.8395,0.1605,0.49,0.51,,,46.0,2298,475,22961,18966,3827,1343,0.832098,0.167902,,,,,29,1,,,,,,,,,86.0,,,218,183,35,228,183,45,10,0,10,190,32,19,,,,1.101,1.038,1.164,local,127,18,12
2020-04-04,2020-05-08T17:30:00.000+02:00,2872,2351,453,71,0.83845,0.16155,0.49,0.51,,,46.0,2205,637,23835,19689,3998,874,0.831215,0.168785,,,,,34,1,,,,,,,,,86.0,,,223,190,33,233,190,43,10,0,10,241,44,13,,,,1.092,1.031,1.152,local,119,17,13
2020-04-05,2020-05-08T17:30:00.000+02:00,2911,2384,459,39,0.83855,0.16145,0.49,0.51,,,46.0,2119,757,24455,20112,4179,620,0.827961,0.172039,,,,,36,1,,,,,,,,,86.0,,,210,177,33,220,177,43,10,0,10,253,15,10,,,,1.094,1.035,1.153,local,119,16,14
2020-04-06,2020-05-08T17:30:00.000+02:00,2988,2478,492,77,0.83434,0.16566,0.4973,0.5027,,,46.0,2177,773,25483,21209,4493,1028,0.825189,0.174811,,,,,38,1,,,,,,,,,86.0,,,211,180,31,221,180,41,10,0,10,310,43,16,,,,1.093,1.035,1.151,local,105,15,13
2020-04-07,2020-05-08T17:30:00.000+02:00,3075,2524,510,87,0.83191,0.16809,0.496,0.504,,,46.0,2039,993,26613,21892,4681,1130,0.823844,0.176156,,,,,43,1,,,,,,,,,86.0,,,210,179,31,220,179,41,10,0,10,354,40,12,,,,1.076,1.021,1.131,local,102,15,13
2020-04-08,2020-05-08T17:30:00.000+02:00,3155,2594,521,80,0.83274,0.16726,0.496,0.504,,,46.0,1932,1177,27624,22650,4871,1011,0.823008,0.176992,,,,,46,1,,,,,,,,84.0,87.0,,,222,189,33,232,189,43,10,0,10,374,28,10,,,,1.052,0.999,1.105,local,86,14,13
2020-04-09,2020-05-08T17:30:00.000+02:00,3226,2644,579,71,0.82035,0.17965,0.495,0.505,,,46.0,1845,1334,28498,23211,5062,874,0.82096,0.17904,,,,,49,1,,,,,,,,,87.0,,,214,185,29,224,185,39,10,0,10,412,22,10,,,,1.05,0.997,1.102,local,77,12,13
2020-04-10,2020-05-08T17:30:00.000+02:00,3274,2679,591,48,0.81927,0.18073,0.495,0.505,,,46.0,1658,1564,29186,23724,5241,688,0.819057,0.180943,,,,,55,1,,,,,,,,,87.0,,,214,186,28,224,186,38,10,0,10,444,43,20,,,,1.078,1.026,1.129,local,68,12,13
2020-04-11,2020-05-08T17:30:00.000+02:00,3286,2685,596,12,0.81835,0.18165,0.495,0.505,,,46.0,1486,1744,29521,23873,5292,335,0.81855,0.18145,,,,,58,1,,,,,,,,,85.0,,,202,172,30,212,172,40,10,0,10,465,35,8,,,,1.036,0.985,1.086,local,59,12,12
2020-04-12,2020-05-09T17:30:00.000+02:00,3305,2694,598,19,0.81835,0.18165,0.495,0.505,,,46.0,1382,1863,29737,24000,5315,216,0.818694,0.181306,,,,,62,1,,,,,,,,,85.0,,,214,183,31,223,183,40,10,0,9,467,7,3,,,,1.013,0.963,1.063,local,56,11,11
2020-04-13,2020-05-08T17:30:00.000+02:00,3308,2707,600,3,0.81857,0.18143,0.495,0.505,,,46.0,1345,1900,29795,24177,5346,58,0.818921,0.181079,,,,,65,1,,,,,,,,,85.0,,,194,161,33,203,161,42,9,0,9,486,17,14,,,,1.015,0.965,1.065,local,46,10,11
2020-04-14,2020-05-08T17:30:00.000+02:00,3383,2760,613,75,0.81826,0.18174,0.495,0.505,,,46.0,1250,2065,31237,25060,5663,1442,0.815676,0.184324,,,,,68,1,,,,,,,,,84.0,,,197,163,34,206,163,43,9,0,9,526,21,20,,,,1.016,0.966,1.065,local,44,9,12
2020-04-15,2020-05-08T17:30:00.000+02:00,3433,2830,614,50,0.82172,0.17828,0.494,0.506,,,46.0,1185,2180,32080,25797,5863,843,0.814814,0.185186,,,,,68,1,,0.65,,0.43,0.57,,,83.0,85.0,53,96,179,144,35,188,144,44,9,0,9,552,38,14,,,,1.038,0.989,1.087,local,40,9,13
2020-04-16,2020-05-08T17:30:00.000+02:00,3477,2858,622,44,0.82126,0.17874,0.495,0.505,,,46.0,1045,2364,32967,26395,5999,887,0.814811,0.185189,,,,,71,1,,0.671,,0.443,0.557,,,,84.5,,,189,157,32,198,157,41,9,0,9,579,21,18,,,,1.045,0.996,1.093,local,36,10,14
2020-04-17,2020-05-08T17:30:00.000+02:00,3532,2907,630,55,0.82188,0.17812,0.493,0.507,,,46.0,976,2485,33923,27102,6150,956,0.815049,0.184951,,,,,71,1,,0.671,,0.443,0.557,,,,84.5,,,171,141,30,180,141,39,9,0,9,601,22,15,,,,1.025,0.978,1.073,local,37,9,13
2020-04-18,2020-05-08T17:30:00.000+02:00,3551,2917,633,19,0.82169,0.17831,0.493,0.507,,,46.0,876,2602,34438,27429,6237,515,0.814739,0.185261,,,,,74,1,,0.6,,0.467,0.533,,,,85.0,,,183,152,31,192,152,40,9,0,9,627,24,10,,,,1.032,0.984,1.079,local,38,9,13
2020-04-19,2020-05-08T17:30:00.000+02:00,3559,2921,637,8,0.82097,0.17903,0.493,0.507,,,46.0,811,2674,34574,27532,6266,136,0.814604,0.185396,,,,,75,1,,0.68,,0.453,0.547,,,,85.0,,,178,148,30,187,148,39,8,0,9,637,26,0,,,,1.015,0.967,1.062,local,36,9,13
2020-04-20,2020-05-08T17:30:00.000+02:00,3590,2951,667,31,0.81564,0.18436,0.491,0.509,,,46.0,793,2721,35541,28380,6582,967,0.811738,0.188262,,,,,78,1,,0.679,,0.449,0.551,,,83.0,85.0,,,180,149,31,188,149,39,7,0,8,670,16,21,,,,1.014,0.967,1.061,local,40,12,14
2020-04-21,2020-05-09T17:30:00.000+02:00,3638,2973,681,48,0.81363,0.18637,0.489,0.511,,,46.0,756,2802,36399,29232,6855,858,0.810042,0.189958,,,,,80,1,,0.654,,0.432,0.568,,,83.0,85.0,,,178,147,31,185,147,38,7,0,7,711,34,9,,,,1.03,0.983,1.077,local,36,11,13
2020-04-22,2020-05-09T17:30:00.000+02:00,3656,2979,686,18,0.81282,0.18718,0.489,0.511,,,46.0,693,2883,37530,29836,7005,1131,0.809859,0.190141,,,,,81,1,,0.659,,0.44,0.56,,,83.0,85.0,,,171,143,28,178,143,35,6,0,7,728,27,12,,,,1.013,0.966,1.059,local,32,12,12
2020-04-23,2020-05-09T17:30:00.000+02:00,3676,2998,697,20,0.81137,0.18863,0.49,0.51,,,46.0,632,2961,38246,30414,7368,716,0.804987,0.195013,,,,,84,1,,0.667,,0.453,0.547,,,83.0,85.0,,,157,133,24,163,133,30,5,0,6,760,,12,,,,1.006,0.96,1.053,local,28,11,11
2020-04-24,2020-05-09T17:30:00.000+02:00,3708,3007,704,32,0.81029,0.18971,0.49,0.51,,,46.0,597,3026,39471,31067,7447,1225,0.806642,0.193358,,,,,85,1,0,0.655,,0.442,0.558,,,84.0,85.0,,,154,129,25,159,129,30,5,0,5,780,,14,,,,1.009,0.962,1.055,local,25,10,11
2020-04-25,2020-05-09T17:30:00.000+02:00,3723,3017,706,15,0.81037,0.18963,0.49,0.51,,,46.0,553,3084,40069,31452,7551,598,0.8064,0.1936,,,,,88,1,3,0.667,,0.473,0.527,,,83.0,85.0,,,142,119,23,147,119,28,5,0,5,788,,5,,,,1.004,0.957,1.05,local,25,10,11
2020-04-26,2020-05-09T17:30:00.000+02:00,3729,3020,709,6,0.80987,0.19013,0.49,0.51,,,46.0,541,3100,40170,31516,7589,101,0.805933,0.194067,,,,,88,1,0,0.674,,0.438,0.562,,,83.0,84.0,,,141,121,20,146,121,25,5,0,5,790,,4,,,,1.005,0.959,1.051,local,24,9,11
2020-04-27,2020-05-09T17:30:00.000+02:00,3741,3034,707,12,0.81101,0.18899,0.49,0.51,,,46.0,532,3120,40867,31954,7787,697,0.804056,0.195944,,,,,89,1,1,0.663,,0.438,0.562,,,83.0,84.5,,,132,112,20,137,112,25,5,0,5,804,,14,,,,1.004,0.958,1.05,local,22,7,10
2020-04-28,2020-05-09T17:30:00.000+02:00,3774,3050,719,33,0.80923,0.19077,0.49,0.51,,,46.0,552,3133,42489,32569,9189,1622,0.779946,0.220054,,,,,89,1,0,0.663,,0.438,0.562,,,83.0,84.0,,,137,115,22,140,115,25,3,0,3,810,,15,,,,1.014,0.968,1.06,local,19,7,11
2020-04-29,2020-05-09T17:30:00.000+02:00,3790,3062,722,16,0.8092,0.1908,0.489,0.511,,,46.0,488,3212,44197,33257,9386,1708,0.779894,0.220106,,,,,90,1,1,0.656,,0.433,0.567,,,83.0,84.5,,,125,101,24,128,101,27,3,0,3,829,,7,,,,1.0,0.954,1.046,local,19,5,11
2020-04-30,2020-05-09T17:30:00.000+02:00,3804,3080,722,14,0.8101,0.1899,0.489,0.511,,,46.0,447,3265,46047,34368,10527,1850,0.76552,0.23448,,,,,92,1,2,,,,,,,84.0,85.0,,,111,87,24,114,87,27,3,0,3,841,,9,,,,0.999,0.953,1.045,local,18,5,11
2020-05-01,2020-05-09T17:30:00.000+02:00,3811,3095,717,7,0.81191,0.18809,0.489,0.511,,,46.0,402,3316,47482,37548,9912,1435,0.79115,0.20885,,,,,93,1,0,0.648,,0.44,0.56,,,84.0,85.0,,,123,98,25,126,98,28,3,0,3,845,,3,,,,0.999,0.953,1.045,local,15,4,9
2020-05-02,2020-05-09T17:30:00.000+02:00,3823,3097,727,12,0.80988,0.19012,0.489,0.511,,,46.0,349,3378,48118,37693,10425,636,0.783345,0.216655,,,,,96,1,4,0.632,,0.453,0.547,,,84.0,85.0,,,117,93,24,120,93,27,3,0,3,850,,2,,,,0.997,0.951,1.043,local,14,4,9
2020-05-03,2020-05-09T17:30:00.000+02:00,3827,3104,724,4,0.81087,0.18913,0.489,0.511,,,46.0,327,3404,48339,38366,9973,221,0.793686,0.206314,,,,,96,1,0,0.632,,0.453,0.547,,,84.0,85.0,,,115,92,23,118,92,26,3,0,3,851,,2,,,,1.001,0.955,1.047,local,14,4,8
2020-05-04,2020-05-09T17:30:00.000+02:00,3839,3115,725,12,0.8112,0.1888,0.489,0.511,,,46.0,331,3412,49307,39003,10296,968,0.791152,0.208848,0.49,0.51,,,98,1,0,0.639,0.36,0.454,0.55,,,84.0,85.0,,,112,90,22,115,90,25,3,0,3,856,,5,,,,1.0,0.954,1.046,local,14,4,7
2020-05-05,2020-05-09T17:30:00.000+02:00,3850,3123,728,11,0.81096,0.18904,0.489,0.511,,,46.0,299,3453,50543,39968,10565,1236,0.790929,0.209071,0.49,0.51,,,98,1,2,0.64,0.36,0.45,0.55,,,83.0,85.0,,,118,98,20,121,98,23,3,0,3,860,,6,,,,0.998,0.952,1.045,local,11,3,6
2020-05-06,2020-05-09T17:30:00.000+02:00,3859,3130,729,9,0.81109,0.18891,0.4889,0.5111,,,46.0,255,3505,51883,40998,10885,1340,0.790201,0.209799,0.49,0.51,,,100,1,2,0.64,0.36,0.44,0.56,,,83.0,85.0,,,111,90,21,114,90,24,3,0,3,868,,4,,,,0.999,0.953,1.045,local,10,3,6
2020-05-07,2020-05-09T17:30:00.000+02:00,3871,3133,738,12,0.80935,0.19065,0.4883,0.5117,,,46.0,245,3526,53257,41281,11976,1374,0.775128,0.224872,0.49,0.51,,,100,1,0,0.64,0.36,0.44,0.56,,,83.0,84.5,,,95,79,16,98,79,19,3,0,3,873,,3,,,,0.995,,,local,10,4,5
2020-05-08,2020-05-09T17:45:00.000+02:00,3877,3139,738,6,0.80965,0.19035,0.4883,0.5117,,,46.0,226,3550,54463,42925,11538,1206,0.78815,0.21185,0.49,0.51,,,101,1,1,0.64,0.36,0.44,0.56,,,83.0,84.0,,,102,87,15,105,87,18,3,0,3,874,,,,,,0.995,,,local,9,5,6
