date,date_published,cases,cases_residents,cases_nonresidents,cases_new,cases_residents_prop,cases_nonresidents_prop,cases_sex_f_prop,cases_sex_m_prop,cases_sex_x_prop,cases_sex_u_prop,cases_age_mean,active,recovered,tests,tests_residents,tests_nonresidents,tests_new,tests_residents_prop,tests_nonresidents_prop,tests_sex_f_prop,tests_sex_m_prop,tests_sex_x_prop,tests_sex_u_prop,deaths,deaths_transfer,deaths_new,deaths_hospital_prop,deaths_nonhospital_prop,deaths_sex_f_prop,deaths_sex_m_prop,deaths_sex_x_prop,deaths_sex_u_prop,deaths_age_mean,deaths_age_median,deaths_age_min,deaths_age_max,hospital_total,hospital_normal,hospital_intensive,hospital_total_transfer,hospital_intensive_transfer,hospital_discharges,reproduction_number_effective,reproduction_number,state
2020-03-22,2020-03-23T19:00:00.000+01:00,875,,,,,,,,,,,,,8000,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,local
2020-03-23,2020-03-24T19:00:00.000+01:00,1099,,,,,,,,,,,,,,,,1500,,,,,,,8,,,,,,,,,,,,,,,,,,,,,local
2020-03-24,2020-03-25T16:00:00.000+01:00,1333,,,,,,,,,,,,,10000,,,,,,,,,,8,,,,,,,,,,,,,143,122,21,,,,,,local
2020-03-25,2020-03-26T17:45:00.000+01:00,1453,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,local
2020-03-26,2020-03-27T16:30:00.000+01:00,1605,,,,,,0.46,0.54,,,46.0,,40,13738,,,,,,,,,,14,,,,,,,,,80.0,,53,,148,123,25,,,40,,,local
2020-03-27,2020-03-28T17:30:00.000+01:00,1831,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,local
2020-03-28,2020-03-29T17:30:00.000+02:00,1950,,,,,,,,,,,,,15891,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,local
2020-03-29,2020-03-30T17:30:00.000+02:00,1988,1733,255,,0.87173,0.12827,,,,,,,80,16199,,,308,,,,,,,22,,,,,,,,,,,,,202,171,31,,,80,,,local
2020-03-30,2020-03-31T17:45:00.000+02:00,2178,1883,295,,0.86455,0.13545,,,,,,,,17511,,,1312,,,,,,,23,,,,,,,,,,,,,,,,,,,,,local
2020-03-31,2020-04-01T17:45:00.000+02:00,2319,1922,327,,0.85899,0.14101,,,,,,,,18690,,,1179,,,,,,,29,,,,,,,,,,,,,,,,,,,,,local
2020-04-01,2020-04-02T17:45:00.000+02:00,2487,2099,388,,0.84399,0.15601,,,,,,,,20092,,,1402,,,,,,,30,,,,,,,,,,,,,,,,,,,,,local
2020-04-02,2020-04-03T17:30:00.000+02:00,2612,2201,401,,0.84589,0.15735,0.49,0.51,,,46.0,,500,21463,17925,3538,1371,0.835158,0.164842,,,,,31,1,,,,,,,,,86.0,,,232,199,33,10,10,174,,,local
2020-04-03,2020-04-04T18:00:00.000+02:00,2729,2291,438,,0.8395,0.1605,0.49,0.51,,,46.0,,,22793,18966,3827,1330,0.832098,0.167902,,,,,31,1,,,,,,,,,86.0,,,230,195,35,10,10,190,,,local
2020-04-04,2020-04-05T17:30:00.000+02:00,2804,2351,453,,0.83845,0.16155,0.49,0.51,,,46.0,,,23687,19689,3998,894,0.831215,0.168785,,,,,36,1,,,,,,,,,86.0,,,233,200,33,10,10,241,,,local
2020-04-05,2020-04-06T17:30:00.000+02:00,2843,2384,459,,0.83855,0.16145,0.49,0.51,,,46.0,,,24291,20112,4179,604,0.827961,0.172039,,,,,41,1,,,,,,,,,86.0,,,223,191,32,10,10,253,,,local
2020-04-06,2020-04-07T17:30:00.000+02:00,2970,2478,492,,0.83434,0.16566,0.4973,0.5027,,,46.0,,,25702,21209,4493,1411,0.825189,0.174811,,,,,44,1,,,,,,,,,86.0,,,231,196,35,10,10,310,,,local
2020-04-07,2020-04-08T17:35:00.000+02:00,3034,2524,510,,0.83191,0.16809,0.496,0.504,,,46.0,,,26573,21892,4681,871,0.823844,0.176156,,,,,46,1,,,,,,,,,86.0,,,231,197,34,10,10,354,,,local
2020-04-08,2020-04-09T17:35:00.000+02:00,3115,2594,521,,0.83274,0.16726,0.496,0.504,,,46.0,,,27521,22650,4871,948,0.823008,0.176992,,,,,52,1,,,,,,,,84.0,87.0,,,220,190,30,10,10,374,,,local
2020-04-09,2020-04-10T17:40:00.000+02:00,3223,2644,579,,0.82035,0.17965,0.495,0.505,,,46.0,,,28273,23211,5062,752,0.82096,0.17904,,,,,54,1,,,,,,,,,87.0,,,234,202,32,10,10,412,,,local
2020-04-10,2020-04-11T18:35:00.000+02:00,3270,2679,591,,0.81927,0.18073,0.495,0.505,,,46.0,,,28965,23724,5241,692,0.819057,0.180943,,,,,62,1,,,,,,,,,87.0,,,210,177,33,10,10,444,,,local
2020-04-11,2020-04-12T17:35:00.000+02:00,3281,2685,596,,0.81835,0.18165,0.495,0.505,,,46.0,,,29165,23873,5292,200,0.81855,0.18145,,,,,66,1,,,,,,,,,85.0,,,214,183,31,10,10,465,,,local
2020-04-12,2020-04-13T18:00:00.000+02:00,3292,2694,598,,0.81835,0.18165,0.495,0.505,,,46.0,,,29315,24000,5315,150,0.818694,0.181306,,,,,67,1,,,,,,,,,85.0,,,211,178,33,10,10,467,,,local
2020-04-13,2020-04-14T20:10:00.000+02:00,3307,2707,600,,0.81857,0.18143,0.495,0.505,,,46.0,,,29523,24177,5346,208,0.818921,0.181079,,,,,67,1,,,,,,,,,85.0,,,192,161,31,9,9,486,,,local
2020-04-14,2020-04-15T18:15:00.000+02:00,3373,2760,613,,0.81826,0.18174,0.495,0.505,,,46.0,,,30723,25060,5663,1200,0.815676,0.184324,,,,,68,1,,,,,,,,,84.0,,,191,158,33,9,9,526,,,local
2020-04-15,2020-04-16T18:30:00.000+02:00,3444,2830,614,,0.82172,0.17828,0.494,0.506,,,46.0,,,31660,25797,5863,937,0.814814,0.185186,,,,,68,1,,0.65,,0.43,0.57,,,83.0,85.0,53,96,205,170,35,9,9,552,,,local
2020-04-16,2020-04-17T18:10:00.000+02:00,3480,2858,622,,0.82126,0.17874,0.495,0.505,,,46.0,,,32394,26395,5999,734,0.814811,0.185189,,,,,72,1,,0.671,,0.443,0.557,,,,84.5,,,178,149,29,9,9,579,,,local
2020-04-17,2020-04-18T17:30:00.000+02:00,3537,2907,630,,0.82188,0.17812,0.493,0.507,,,46.0,,,33252,27102,6150,858,0.815049,0.184951,,,,,72,1,,0.671,,0.443,0.557,,,,84.5,,,180,148,32,9,9,601,,,local
2020-04-18,2020-04-19T17:30:00.000+02:00,3550,2917,633,,0.82169,0.17831,0.493,0.507,,,46.0,,,33666,27429,6237,414,0.814739,0.185261,,,,,73,1,,0.6,,0.467,0.533,,,,85.0,,,181,150,31,9,9,627,,,local
2020-04-19,2020-04-20T17:30:00.000+02:00,3558,2921,637,,0.82097,0.17903,0.493,0.507,,,46.0,,,33798,27532,6266,132,0.814604,0.185396,,,,,75,1,,0.68,,0.453,0.547,,,,85.0,,,185,153,32,8,8,637,,,local
2020-04-20,2020-04-21T17:50:00.000+02:00,3618,2951,667,,0.81564,0.18436,0.491,0.509,,,46.0,,,34962,28380,6582,1164,0.811738,0.188262,,,,,78,1,,0.679,,0.449,0.551,,,83.0,85.0,,,185,153,32,7,7,670,,,local
2020-04-21,2020-04-22T18:35:00.000+02:00,3654,2973,681,,0.81363,0.18637,0.489,0.511,,,46.0,,,36087,29232,6855,1125,0.810042,0.189958,,,,,80,1,,0.654,,0.432,0.568,,,83.0,85.0,,,172,143,29,7,7,711,,,local
2020-04-22,2020-04-23T17:35:00.000+02:00,3665,2979,686,,0.81282,0.18718,0.489,0.511,,,46.0,,,36891,29836,7005,804,0.809859,0.190141,,,,,83,1,,0.659,,0.44,0.56,,,83.0,85.0,,,165,138,27,6,6,728,,,local
2020-04-23,2020-04-24T17:55:00.000+02:00,3695,2998,697,,0.81137,0.18863,0.49,0.51,,,46.0,603,3007,37782,30414,7368,891,0.804987,0.195013,,,,,85,1,,0.667,,0.453,0.547,,,83.0,85.0,,,163,138,25,5,5,760,,,local
