date,date_published,cases,cases_residents,cases_nonresidents,cases_new,cases_residents_prop,cases_nonresidents_prop,cases_sex_f_prop,cases_sex_m_prop,cases_sex_x_prop,cases_sex_u_prop,cases_age_mean,active,recovered,tests,tests_residents,tests_nonresidents,tests_new,tests_residents_prop,tests_nonresidents_prop,tests_sex_f_prop,tests_sex_m_prop,tests_sex_x_prop,tests_sex_u_prop,deaths,deaths_transfer,deaths_new,deaths_hospital_prop,deaths_nonhospital_prop,deaths_sex_f_prop,deaths_sex_m_prop,deaths_sex_x_prop,deaths_sex_u_prop,deaths_age_mean,deaths_age_median,deaths_age_min,deaths_age_max,hospital_total,hospital_normal,hospital_intensive,hospital_total_transfer,hospital_intensive_transfer,hospital_discharges,reproduction_number_effective,reproduction_number,state
2020-03-22,2020-03-23T19:00:00.000+01:00,875,,,,,,,,,,,,,8000,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,local
2020-03-23,2020-03-24T19:00:00.000+01:00,1099,,,,,,,,,,,,,,,,1500,,,,,,,8,,,,,,,,,,,,,,,,,,,,,local
2020-03-24,2020-03-25T16:00:00.000+01:00,1333,,,,,,,,,,,,,10000,,,,,,,,,,8,,,,,,,,,,,,,143,122,21,,,,,,local
2020-03-25,2020-03-26T17:45:00.000+01:00,1453,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,local
2020-03-26,2020-03-27T16:30:00.000+01:00,1605,,,,,,0.46,0.54,,,46.0,,40,13738,,,,,,,,,,14,,,,,,,,,80.0,,53,,148,123,25,,,40,,,local
2020-03-27,2020-03-28T17:30:00.000+01:00,1831,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,local
2020-03-28,2020-03-29T17:30:00.000+02:00,1950,,,,,,,,,,,,,15891,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,local
2020-03-29,2020-03-30T17:30:00.000+02:00,1988,1733,255,,0.87173,0.12827,,,,,,,80,16199,,,308,,,,,,,22,,,,,,,,,,,,,202,171,31,,,80,,,local
2020-03-30,2020-03-31T17:45:00.000+02:00,2178,1883,295,,0.86455,0.13545,,,,,,,,17511,,,1312,,,,,,,23,,,,,,,,,,,,,,,,,,,,,local
2020-03-31,2020-04-01T17:45:00.000+02:00,2319,1922,327,,0.85899,0.14101,,,,,,,,18690,,,1179,,,,,,,29,,,,,,,,,,,,,,,,,,,,,local
2020-04-01,2020-04-02T17:45:00.000+02:00,2487,2099,388,,0.84399,0.15601,,,,,,,,20092,,,1402,,,,,,,30,,,,,,,,,,,,,,,,,,,,,local
2020-04-02,2020-04-03T17:30:00.000+02:00,2612,2201,401,,0.84589,0.15735,0.49,0.51,,,46.0,,500,21463,17925,3538,1371,0.835158,0.164842,,,,,31,1,,,,,,,,,86.0,,,232,199,33,10,10,174,,,local
2020-04-03,2020-04-04T18:00:00.000+02:00,2729,2291,438,,0.8395,0.1605,0.49,0.51,,,46.0,,,22793,18966,3827,1330,0.832098,0.167902,,,,,31,1,,,,,,,,,86.0,,,230,195,35,10,10,190,,,local
2020-04-04,2020-04-05T17:30:00.000+02:00,2804,2351,453,,0.83845,0.16155,0.49,0.51,,,46.0,,,23687,19689,3998,894,0.831215,0.168785,,,,,36,1,,,,,,,,,86.0,,,233,200,33,10,10,241,,,local
2020-04-05,2020-04-06T17:30:00.000+02:00,2843,2384,459,,0.83855,0.16145,0.49,0.51,,,46.0,,,24291,20112,4179,604,0.827961,0.172039,,,,,41,1,,,,,,,,,86.0,,,223,191,32,10,10,253,,,local
2020-04-06,2020-04-07T17:30:00.000+02:00,2970,2478,492,,0.83434,0.16566,0.4973,0.5027,,,46.0,,,25702,21209,4493,1411,0.825189,0.174811,,,,,44,1,,,,,,,,,86.0,,,231,196,35,10,10,310,,,local
2020-04-07,2020-04-08T17:35:00.000+02:00,3034,2524,510,,0.83191,0.16809,0.496,0.504,,,46.0,,,26573,21892,4681,871,0.823844,0.176156,,,,,46,1,,,,,,,,,86.0,,,231,197,34,10,10,354,,,local
2020-04-08,2020-04-09T17:35:00.000+02:00,3115,2594,521,,0.83274,0.16726,0.496,0.504,,,46.0,,,27521,22650,4871,948,0.823008,0.176992,,,,,52,1,,,,,,,,84.0,87.0,,,220,190,30,10,10,374,,,local
2020-04-09,2020-04-10T17:40:00.000+02:00,3223,2644,579,,0.82035,0.17965,0.495,0.505,,,46.0,,,28273,23211,5062,752,0.82096,0.17904,,,,,54,1,,,,,,,,,87.0,,,234,202,32,10,10,412,,,local
2020-04-10,2020-04-11T18:35:00.000+02:00,3270,2679,591,,0.81927,0.18073,0.495,0.505,,,46.0,,,28965,23724,5241,692,0.819057,0.180943,,,,,62,1,,,,,,,,,87.0,,,210,177,33,10,10,444,,,local
2020-04-11,2020-04-12T17:35:00.000+02:00,3281,2685,596,,0.81835,0.18165,0.495,0.505,,,46.0,,,29165,23873,5292,200,0.81855,0.18145,,,,,66,1,,,,,,,,,85.0,,,214,183,31,10,10,465,,,local
2020-04-12,2020-04-13T18:00:00.000+02:00,3292,2694,598,,0.81835,0.18165,0.495,0.505,,,46.0,,,29315,24000,5315,150,0.818694,0.181306,,,,,67,1,,,,,,,,,85.0,,,211,178,33,10,10,467,,,local
2020-04-13,2020-04-14T20:10:00.000+02:00,3307,2707,600,,0.81857,0.18143,0.495,0.505,,,46.0,,,29523,24177,5346,208,0.818921,0.181079,,,,,67,1,,,,,,,,,85.0,,,192,161,31,9,9,486,,,local
2020-04-14,2020-04-15T18:15:00.000+02:00,3373,2760,613,,0.81826,0.18174,0.495,0.505,,,46.0,,,30723,25060,5663,1200,0.815676,0.184324,,,,,68,1,,,,,,,,,84.0,,,191,158,33,9,9,526,,,local
2020-04-15,2020-04-16T18:30:00.000+02:00,3444,2830,614,,0.82172,0.17828,0.494,0.506,,,46.0,,,31660,25797,5863,937,0.814814,0.185186,,,,,68,1,,0.65,,0.43,0.57,,,83.0,85.0,53,96,205,170,35,9,9,552,,,local
2020-04-16,2020-04-17T18:10:00.000+02:00,3480,2858,622,,0.82126,0.17874,0.495,0.505,,,46.0,,,32394,26395,5999,734,0.814811,0.185189,,,,,72,1,,0.671,,0.443,0.557,,,,84.5,,,178,149,29,9,9,579,,,local
2020-04-17,2020-04-18T17:30:00.000+02:00,3537,2907,630,,0.82188,0.17812,0.493,0.507,,,46.0,,,33252,27102,6150,858,0.815049,0.184951,,,,,72,1,,0.671,,0.443,0.557,,,,84.5,,,180,148,32,9,9,601,,,local
2020-04-18,2020-04-19T17:30:00.000+02:00,3550,2917,633,,0.82169,0.17831,0.493,0.507,,,46.0,,,33666,27429,6237,414,0.814739,0.185261,,,,,73,1,,0.6,,0.467,0.533,,,,85.0,,,181,150,31,9,9,627,,,local
2020-04-19,2020-04-20T17:30:00.000+02:00,3558,2921,637,,0.82097,0.17903,0.493,0.507,,,46.0,,,33798,27532,6266,132,0.814604,0.185396,,,,,75,1,,0.68,,0.453,0.547,,,,85.0,,,185,153,32,8,8,637,,,local
2020-04-20,2020-04-21T17:50:00.000+02:00,3618,2951,667,,0.81564,0.18436,0.491,0.509,,,46.0,,,34962,28380,6582,1164,0.811738,0.188262,,,,,78,1,,0.679,,0.449,0.551,,,83.0,85.0,,,185,153,32,7,7,670,,,local
2020-04-21,2020-04-22T18:35:00.000+02:00,3654,2973,681,,0.81363,0.18637,0.489,0.511,,,46.0,,,36087,29232,6855,1125,0.810042,0.189958,,,,,80,1,,0.654,,0.432,0.568,,,83.0,85.0,,,172,143,29,7,7,711,,,local
2020-04-22,2020-04-23T17:35:00.000+02:00,3665,2979,686,,0.81282,0.18718,0.489,0.511,,,46.0,,,36891,29836,7005,804,0.809859,0.190141,,,,,83,1,,0.659,,0.44,0.56,,,83.0,85.0,,,165,138,27,6,6,728,,,local
2020-04-23,2020-04-24T17:55:00.000+02:00,3695,2998,697,,0.81137,0.18863,0.49,0.51,,,46.0,603,3007,37782,30414,7368,891,0.804987,0.195013,,,,,85,1,,0.667,,0.453,0.547,,,83.0,85.0,,,163,138,25,5,5,760,,,local
2020-04-24,2020-04-25T17:55:00.000+02:00,3711,3007,704,,0.81029,0.18971,0.49,0.51,,,46.0,538,3088,38514,31067,7447,732,0.806642,0.193358,,,,,85,1,0,0.655,,0.442,0.558,,,84.0,85.0,,,163,137,26,5,5,780,,,local
2020-04-25,2020-04-26T17:30:00.000+02:00,3723,3017,706,,0.81037,0.18963,0.49,0.51,,,46.0,531,3104,39003,31452,7551,489,0.8064,0.1936,,,,,88,1,3,0.667,,0.473,0.527,,,83.0,85.0,,,146,124,22,5,5,788,,,local
2020-04-26,2020-04-27T17:30:00.000+02:00,3729,3020,709,,0.80987,0.19013,0.49,0.51,,,46.0,518,3123,39102,31516,7589,99,0.805933,0.194067,,,,,88,1,0,0.674,,0.438,0.562,,,83.0,84.0,,,141,121,20,5,5,790,,,local
2020-04-27,2020-04-28T17:55:00.000+02:00,3741,3034,707,,0.81101,0.18899,0.49,0.51,,,46.0,531,3121,39741,31954,7787,639,0.804056,0.195944,,,,,89,1,1,0.663,,0.438,0.562,,,83.0,84.5,,,131,112,19,5,5,804,,,local
2020-04-28,2020-04-29T17:35:00.000+02:00,3769,3050,719,,0.80923,0.19077,0.49,0.51,,,46.0,546,3134,41758,32569,9189,2017,0.779946,0.220054,,,,,89,1,0,0.663,,0.438,0.562,,,83.0,84.0,,,136,115,21,3,3,810,,,local
2020-04-29,2020-04-30T17:45:00.000+02:00,3784,3062,722,,0.8092,0.1908,0.489,0.511,,,46.0,481,3213,42643,33257,9386,885,0.779894,0.220106,,,,,90,1,1,0.656,,0.433,0.567,,,83.0,84.5,,,124,101,23,3,3,829,,,local
2020-04-30,2020-05-01T17:30:00.000+02:00,3802,3080,722,,0.8101,0.1899,0.489,0.511,,,46.0,481,3213,44895,34368,10527,2252,0.76552,0.23448,,,,,92,1,2,,,,,,,84.0,85.0,,,109,87,22,3,3,841,,,local
2020-05-01,2020-05-02T17:30:00.000+02:00,3812,3095,717,,0.81191,0.18809,0.489,0.511,,,46.0,402,3318,47460,37548,9912,2565,0.79115,0.20885,,,,,92,1,0,0.648,,0.44,0.56,,,84.0,85.0,,,121,98,23,3,3,845,,,local
2020-05-02,2020-05-03T17:30:00.000+02:00,3824,3097,727,12,0.80988,0.19012,0.489,0.511,,,46.0,349,3379,48118,37693,10425,658,0.783345,0.216655,,,,,96,1,4,0.632,,0.453,0.547,,,84.0,85.0,,,115,93,22,3,3,850,,,local
2020-05-03,2020-05-05T14:00:00.000+02:00,3828,3104,724,4,0.81087,0.18913,0.489,0.511,,,46.0,327,3405,48339,38366,9973,221,0.793686,0.206314,,,,,96,1,0,0.632,,0.453,0.547,,,84.0,85.0,,,113,92,21,3,3,851,,,local
2020-05-04,2020-05-06T16:45:00.000+02:00,3840,3115,725,12,0.8112,0.1888,0.489,0.511,,,46.0,332,3412,49299,39003,10296,960,0.791152,0.208848,0.49,0.51,,,96,1,0,0.639,0.36,0.454,0.55,,,84.0,85.0,,,111,89,22,3,3,856,,,local
2020-05-05,2020-05-06T20:15:00.000+02:00,3851,3123,728,11,0.81096,0.18904,0.489,0.511,,,46.0,301,3452,50533,39968,10565,1234,0.790929,0.209071,0.49,0.51,,,98,1,2,0.64,0.36,0.45,0.55,,,83.0,85.0,,,118,98,20,3,3,860,,,local
2020-05-06,2020-05-08T17:15:00.000+02:00,3859,3130,729,8,0.81109,0.18891,0.4889,0.5111,,,46.0,255,3505,51883,40998,10885,1350,0.790201,0.209799,0.49,0.51,,,100,1,2,0.64,0.36,0.44,0.56,,,83.0,85.0,,,111,90,21,3,3,868,,0.995,local
2020-05-07,2020-05-08T17:35:00.000+02:00,3871,3133,738,12,0.80935,0.19065,0.4883,0.5117,,,46.0,245,3526,53257,41281,11976,1374,0.775128,0.224872,0.49,0.51,,,100,1,0,0.64,0.36,0.44,0.56,,,83.0,84.5,,,95,79,16,3,3,873,,0.995,local
2020-05-08,2020-05-09T17:45:00.000+02:00,3877,3139,738,6,0.80965,0.19035,0.4883,0.5117,,,46.0,226,3550,54463,42925,11538,1206,0.78815,0.21185,0.49,0.51,,,101,1,1,0.64,0.36,0.44,0.56,,,83.0,84.0,,,102,87,15,3,3,874,,0.995,local
2020-05-09,2020-05-10T17:30:00.000+02:00,3886,3139,747,9,0.80777,0.19223,0.4883,0.5117,,,46.0,199,3586,55250,42990,12260,787,0.7781,0.2219,0.49,0.51,,,101,1,0,0.65,0.35,0.44,0.56,,,83.0,84.0,,,92,78,14,3,3,879,,0.995,local
2020-05-10,2020-05-12T15:00:00.000+02:00,3888,3148,740,2,0.80967,0.19033,0.489,0.511,,,46.0,185,3602,55415,43762,11653,165,0.789714,0.210286,0.49,0.51,,,101,1,0,0.65,0.35,0.44,0.56,,,83.0,84.0,,,86,68,18,3,3,883,,0.995,local
2020-05-11,2020-05-13T16:30:00.000+02:00,3894,3153,741,6,0.80971,0.19029,0.4889,0.5111,,,46.0,182,3610,56394,44419,11975,979,0.787655,0.212345,0.49,0.51,,,102,1,1,0.65,0.35,0.43,0.57,,,83.0,84.5,,,88,66,22,1,1,886,,0.993,local
2020-05-12,2020-05-14T12:15:00.000+02:00,3904,3161,743,10,0.80968,0.19032,0.4883,0.5117,,,46.0,172,3629,57687,45396,12291,1293,0.786936,0.213064,0.49,0.51,,,103,1,1,0.65,0.35,0.44,0.56,,,84.0,85.0,,,89,67,22,1,1,887,0.63,0.993,local
2020-05-13,2020-05-14T17:32:00.000+02:00,3915,3162,753,11,0.80766,0.19234,0.4879,0.5121,,,46.0,147,3665,58727,45848,12879,1040,0.780697,0.219303,0.49,0.51,,,103,1,0,0.65,0.35,0.44,0.56,,,84.0,85.0,,,78,67,11,1,1,895,0.63,0.993,local
2020-05-14,2020-05-15T18:30:00.000+02:00,3923,3175,748,8,0.80933,0.19067,0.4874,0.5126,,,46.0,137,3682,59987,47106,12881,1260,0.78527,0.21473,0.49,0.51,,,104,1,1,0.65,0.35,0.44,0.56,,,84.0,85.0,,,82,71,11,1,1,898,0.78,0.997,local
2020-05-15,2020-05-16T17:32:00.000+02:00,3930,3179,751,7,0.80891,0.19109,0.4873,0.5127,,,46.0,127,3699,60246,47405,12841,259,0.786857,0.213143,0.49,0.51,,,104,1,0,0.65,0.35,0.44,0.56,,,84.0,85.0,,,73,58,15,1,1,900,0.78,0.997,local
2020-05-16,2020-05-17T17:33:00.000+02:00,3945,3185,760,15,0.80735,0.19265,0.4873,0.5127,,,46.0,136,3702,62153,48168,13985,1907,0.774991,0.225009,0.49,0.51,,,107,1,3,0.64,0.36,0.45,0.55,,,84.0,85.0,,,65,51,14,1,1,900,0.78,0.997,local
2020-05-17,2020-05-18T17:38:00.000+02:00,3947,3190,757,2,0.80821,0.19179,0.4869,0.5131,,,46.0,125,3715,62260,49040,13220,107,0.787665,0.212335,0.49,0.51,,,107,1,0,0.64,0.36,0.45,0.55,,,84.0,85.0,,,54,46,8,1,1,905,0.78,0.997,local
2020-05-18,2020-05-19T17:31:00.000+02:00,3958,3201,757,11,0.80874,0.19126,0.487,0.513,,,46.0,131,3718,63011,49620,13391,751,0.787482,0.212518,0.49,0.51,,,109,1,2,0.65,0.35,0.45,0.55,,,84.0,84.0,,,60,50,10,1,1,905,0.83,0.997,local
2020-05-19,2020-05-20T17:31:00.000+02:00,3971,3211,760,13,0.80861,0.19139,0.4871,0.5129,,,46.0,134,3728,64018,50324,13694,1007,0.786091,0.213909,0.49,0.51,,,109,1,0,0.65,0.35,0.45,0.55,,,84.0,84.0,,,57,51,6,1,1,906,0.83,0.997,local
2020-05-20,2020-05-21T17:32:00.000+02:00,3980,3218,762,9,0.80854,0.19146,0.4871,0.5129,,,46.0,130,3741,64981,51212,13769,963,0.788107,0.211893,0.49,0.51,,,109,1,0,0.65,0.35,0.45,0.55,,,84.0,84.0,,,62,56,6,1,1,906,0.95,0.997,local
