"source","date","date_published","measure","group","interval","min_age","max_age","proportion"
graphs_age_distribution,2020-05-10,2020-05-12T12:30:00.000+02:00,hospital_normal_age,"0 - 5","[0, 5)",0,5,0.013
graphs_age_distribution,2020-05-10,2020-05-11T18:00:00.000+02:00,hospital_normal_age,"5 - 10","[5, 10)",5,10,0.0
graphs_age_distribution,2020-05-10,2020-05-12T12:30:00.000+02:00,hospital_normal_age,"10 - 15","[10, 15)",10,15,0.013
graphs_age_distribution,2020-05-10,2020-05-11T18:00:00.000+02:00,hospital_normal_age,"15 - 20","[15, 20)",15,20,0.0
graphs_age_distribution,2020-05-10,2020-05-12T12:30:00.000+02:00,hospital_normal_age,"20 - 25","[20, 25)",20,25,0.013
graphs_age_distribution,2020-05-10,2020-05-12T12:30:00.000+02:00,hospital_normal_age,"25 - 30","[25, 30)",25,30,0.027
graphs_age_distribution,2020-05-10,2020-05-12T12:30:00.000+02:00,hospital_normal_age,"30 - 35","[30, 35)",30,35,0.013
graphs_age_distribution,2020-05-10,2020-05-12T12:30:00.000+02:00,hospital_normal_age,"35 - 40","[35, 40)",35,40,0.027
graphs_age_distribution,2020-05-10,2020-05-12T12:30:00.000+02:00,hospital_normal_age,"40 - 45","[40, 45)",40,45,0.0
graphs_age_distribution,2020-05-10,2020-05-12T12:30:00.000+02:00,hospital_normal_age,"45 - 50","[45, 50)",45,50,0.053
graphs_age_distribution,2020-05-10,2020-05-12T12:30:00.000+02:00,hospital_normal_age,"50 - 55","[50, 55)",50,55,0.013
graphs_age_distribution,2020-05-10,2020-05-12T12:30:00.000+02:00,hospital_normal_age,"55 - 60","[55, 60)",55,60,0.027
graphs_age_distribution,2020-05-10,2020-05-12T12:30:00.000+02:00,hospital_normal_age,"60 - 65","[60, 65)",60,65,0.04
graphs_age_distribution,2020-05-10,2020-05-12T12:30:00.000+02:00,hospital_normal_age,"65 - 70","[65, 70)",65,70,0.08
graphs_age_distribution,2020-05-10,2020-05-12T12:30:00.000+02:00,hospital_normal_age,"70 - 75","[70, 75)",70,75,0.093
graphs_age_distribution,2020-05-10,2020-05-12T12:30:00.000+02:00,hospital_normal_age,"75 - 80","[75, 80)",75,80,0.12
graphs_age_distribution,2020-05-10,2020-05-12T12:30:00.000+02:00,hospital_normal_age,"80 - 85","[80, 85)",80,85,0.173
graphs_age_distribution,2020-05-10,2020-05-12T12:30:00.000+02:00,hospital_normal_age,"85 - 90","[85, 90)",85,90,0.187
graphs_age_distribution,2020-05-10,2020-05-12T12:30:00.000+02:00,hospital_normal_age,"90 - 95","[90, 95)",90,95,0.08
graphs_age_distribution,2020-05-10,2020-05-12T12:30:00.000+02:00,hospital_normal_age,"95 - 100","[95, 100)",95,100,0.027
graphs_age_distribution,2020-05-10,2020-05-11T19:45:00.000+02:00,hospital_normal_age,"≥ 100","[100, +∞)",100,,0.0
graphs_age_distribution,2020-05-11,2020-05-12T17:30:00.000+02:00,hospital_normal_age,"0 - 5","[0, 5)",0,5,0.013
graphs_age_distribution,2020-05-11,2020-05-12T17:30:00.000+02:00,hospital_normal_age,"5 - 10","[5, 10)",5,10,0.0
graphs_age_distribution,2020-05-11,2020-05-12T17:30:00.000+02:00,hospital_normal_age,"10 - 15","[10, 15)",10,15,0.013
graphs_age_distribution,2020-05-11,2020-05-12T17:30:00.000+02:00,hospital_normal_age,"15 - 20","[15, 20)",15,20,0.0
graphs_age_distribution,2020-05-11,2020-05-12T17:30:00.000+02:00,hospital_normal_age,"20 - 25","[20, 25)",20,25,0.013
graphs_age_distribution,2020-05-11,2020-05-12T17:30:00.000+02:00,hospital_normal_age,"25 - 30","[25, 30)",25,30,0.026
graphs_age_distribution,2020-05-11,2020-05-12T17:30:00.000+02:00,hospital_normal_age,"30 - 35","[30, 35)",30,35,0.013
graphs_age_distribution,2020-05-11,2020-05-12T17:30:00.000+02:00,hospital_normal_age,"35 - 40","[35, 40)",35,40,0.026
graphs_age_distribution,2020-05-11,2020-05-12T17:30:00.000+02:00,hospital_normal_age,"40 - 45","[40, 45)",40,45,0.0
graphs_age_distribution,2020-05-11,2020-05-12T17:30:00.000+02:00,hospital_normal_age,"45 - 50","[45, 50)",45,50,0.052
graphs_age_distribution,2020-05-11,2020-05-12T17:30:00.000+02:00,hospital_normal_age,"50 - 55","[50, 55)",50,55,0.013
graphs_age_distribution,2020-05-11,2020-05-12T17:30:00.000+02:00,hospital_normal_age,"55 - 60","[55, 60)",55,60,0.039
graphs_age_distribution,2020-05-11,2020-05-12T17:30:00.000+02:00,hospital_normal_age,"60 - 65","[60, 65)",60,65,0.039
graphs_age_distribution,2020-05-11,2020-05-12T17:30:00.000+02:00,hospital_normal_age,"65 - 70","[65, 70)",65,70,0.065
graphs_age_distribution,2020-05-11,2020-05-12T17:30:00.000+02:00,hospital_normal_age,"70 - 75","[70, 75)",70,75,0.13
graphs_age_distribution,2020-05-11,2020-05-12T17:30:00.000+02:00,hospital_normal_age,"75 - 80","[75, 80)",75,80,0.104
graphs_age_distribution,2020-05-11,2020-05-12T17:30:00.000+02:00,hospital_normal_age,"80 - 85","[80, 85)",80,85,0.156
graphs_age_distribution,2020-05-11,2020-05-12T17:30:00.000+02:00,hospital_normal_age,"85 - 90","[85, 90)",85,90,0.182
graphs_age_distribution,2020-05-11,2020-05-12T17:30:00.000+02:00,hospital_normal_age,"90 - 95","[90, 95)",90,95,0.091
graphs_age_distribution,2020-05-11,2020-05-12T17:30:00.000+02:00,hospital_normal_age,"95 - 100","[95, 100)",95,100,0.026
graphs_age_distribution,2020-05-11,2020-05-12T17:30:00.000+02:00,hospital_normal_age,"≥ 100","[100, +∞)",100,,0.0
graphs_age_distribution,2020-05-12,2020-05-13T17:15:00.000+02:00,hospital_normal_age,"0 - 5","[0, 5)",0,5,0.04
graphs_age_distribution,2020-05-12,2020-05-13T17:15:00.000+02:00,hospital_normal_age,"5 - 10","[5, 10)",5,10,0.0
graphs_age_distribution,2020-05-12,2020-05-13T17:15:00.000+02:00,hospital_normal_age,"10 - 15","[10, 15)",10,15,0.013
graphs_age_distribution,2020-05-12,2020-05-13T17:15:00.000+02:00,hospital_normal_age,"15 - 20","[15, 20)",15,20,0.0
graphs_age_distribution,2020-05-12,2020-05-13T17:15:00.000+02:00,hospital_normal_age,"20 - 25","[20, 25)",20,25,0.013
graphs_age_distribution,2020-05-12,2020-05-13T17:15:00.000+02:00,hospital_normal_age,"25 - 30","[25, 30)",25,30,0.027
graphs_age_distribution,2020-05-12,2020-05-13T17:15:00.000+02:00,hospital_normal_age,"30 - 35","[30, 35)",30,35,0.013
graphs_age_distribution,2020-05-12,2020-05-13T17:15:00.000+02:00,hospital_normal_age,"35 - 40","[35, 40)",35,40,0.027
graphs_age_distribution,2020-05-12,2020-05-13T17:15:00.000+02:00,hospital_normal_age,"40 - 45","[40, 45)",40,45,0.0
graphs_age_distribution,2020-05-12,2020-05-13T17:15:00.000+02:00,hospital_normal_age,"45 - 50","[45, 50)",45,50,0.053
graphs_age_distribution,2020-05-12,2020-05-13T17:15:00.000+02:00,hospital_normal_age,"50 - 55","[50, 55)",50,55,0.0
graphs_age_distribution,2020-05-12,2020-05-13T17:15:00.000+02:00,hospital_normal_age,"55 - 60","[55, 60)",55,60,0.053
graphs_age_distribution,2020-05-12,2020-05-13T17:15:00.000+02:00,hospital_normal_age,"60 - 65","[60, 65)",60,65,0.067
graphs_age_distribution,2020-05-12,2020-05-13T17:15:00.000+02:00,hospital_normal_age,"65 - 70","[65, 70)",65,70,0.067
graphs_age_distribution,2020-05-12,2020-05-13T17:15:00.000+02:00,hospital_normal_age,"70 - 75","[70, 75)",70,75,0.08
graphs_age_distribution,2020-05-12,2020-05-13T17:15:00.000+02:00,hospital_normal_age,"75 - 80","[75, 80)",75,80,0.107
graphs_age_distribution,2020-05-12,2020-05-13T17:15:00.000+02:00,hospital_normal_age,"80 - 85","[80, 85)",80,85,0.16
graphs_age_distribution,2020-05-12,2020-05-13T17:15:00.000+02:00,hospital_normal_age,"85 - 90","[85, 90)",85,90,0.173
graphs_age_distribution,2020-05-12,2020-05-13T17:15:00.000+02:00,hospital_normal_age,"90 - 95","[90, 95)",90,95,0.08
graphs_age_distribution,2020-05-12,2020-05-13T17:15:00.000+02:00,hospital_normal_age,"95 - 100","[95, 100)",95,100,0.027
graphs_age_distribution,2020-05-12,2020-05-13T17:15:00.000+02:00,hospital_normal_age,"≥ 100","[100, +∞)",100,,0.0
graphs_age_distribution,2020-05-13,2020-05-14T17:15:00.000+02:00,hospital_normal_age,"0 - 5","[0, 5)",0,5,0.0
graphs_age_distribution,2020-05-13,2020-05-14T17:15:00.000+02:00,hospital_normal_age,"5 - 10","[5, 10)",5,10,0.0
graphs_age_distribution,2020-05-13,2020-05-14T17:15:00.000+02:00,hospital_normal_age,"10 - 15","[10, 15)",10,15,0.012
graphs_age_distribution,2020-05-13,2020-05-14T17:15:00.000+02:00,hospital_normal_age,"15 - 20","[15, 20)",15,20,0.012
graphs_age_distribution,2020-05-13,2020-05-14T17:15:00.000+02:00,hospital_normal_age,"20 - 25","[20, 25)",20,25,0.024
graphs_age_distribution,2020-05-13,2020-05-14T17:15:00.000+02:00,hospital_normal_age,"25 - 30","[25, 30)",25,30,0.035
graphs_age_distribution,2020-05-13,2020-05-14T17:15:00.000+02:00,hospital_normal_age,"30 - 35","[30, 35)",30,35,0.012
graphs_age_distribution,2020-05-13,2020-05-14T17:15:00.000+02:00,hospital_normal_age,"35 - 40","[35, 40)",35,40,0.024
graphs_age_distribution,2020-05-13,2020-05-14T17:15:00.000+02:00,hospital_normal_age,"40 - 45","[40, 45)",40,45,0.024
