date,date_published,cases,cases_residents,cases_nonresidents,cases_new,cases_residents_prop,cases_nonresidents_prop,cases_sex_f_prop,cases_sex_m_prop,cases_sex_x_prop,cases_sex_u_prop,cases_age_mean,active,recovered,tests,tests_residents,tests_nonresidents,tests_new,tests_residents_prop,tests_nonresidents_prop,tests_sex_f_prop,tests_sex_m_prop,tests_sex_x_prop,tests_sex_u_prop,deaths,deaths_transfer,deaths_new,deaths_hospital_prop,deaths_nonhospital_prop,deaths_sex_f_prop,deaths_sex_m_prop,deaths_sex_x_prop,deaths_sex_u_prop,deaths_age_mean,deaths_age_median,deaths_age_min,deaths_age_max,hospital_total,hospital_normal,hospital_intensive,hospital_total_all,hospital_normal_all,hospital_intensive_all,hospital_total_transfer,hospital_normal_transfer,hospital_intensive_transfer,hospital_discharges,hospital_discharges_new_all,hospital_discharges_new,reproduction_number_effective,reproduction_number_effective_low,reproduction_number_effective_high,reproduction_number,reproduction_number_low,reproduction_number_high,state,cases_new_ma7,hospital_admissions_new_ma7,hospital_discharges_new_ma7
2020-02-29,2020-03-01T17:00:00.000+01:00,1,,,,,,,,,,,1,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,import,,,
2020-03-04,2020-03-05T17:30:00.000+01:00,2,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,import,,,
2020-03-05,2020-03-06T18:15:00.000+01:00,3,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,import,,,
2020-03-06,2020-03-07T20:00:00.000+01:00,4,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,import,,,
2020-03-07,2020-03-08T19:00:00.000+01:00,5,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,import,,,
2020-03-09,2020-03-10T19:00:00.000+01:00,7,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,import,,,
2020-03-11,2020-03-12T19:00:00.000+01:00,26,,,,,,,,,,,,,,,,400,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,,,
2020-03-12,2020-03-13T21:00:00.000+01:00,38,,,,,,,,,,,,,,,,500,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,,,
2020-03-13,2020-03-14T12:00:00.000+01:00,51,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,,,
2020-03-14,2020-03-15T18:00:00.000+01:00,77,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,,,
2020-03-15,2020-03-16T09:00:00.000+01:00,81,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,9,8,1,,,,,,,,,,,,,,,,local,,,
2020-03-16,2020-03-17T09:00:00.000+01:00,140,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,,,
2020-03-17,2020-03-18T09:00:00.000+01:00,203,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,,,
2020-03-18,2020-03-19T09:00:00.000+01:00,335,,,,,,,,,,,,6,,,,750,,,,,,,4,,,,,,,,,,,,,14,10,4,,,,,,,6,,,,,,,,,local,,,
2020-03-19,2020-03-20T14:00:00.000+01:00,484,,,,,,,,,,,,,,,,1500,,,,,,,5,,,,,,,,,,,,,19,16,3,,,,,,,,,,,,,,,,local,,,
2020-03-20,2020-03-21T16:00:00.000+01:00,670,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,29,26,3,,,,,,,,,,,,,,,,local,,,
2020-03-21,2020-03-22T17:00:00.000+01:00,798,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,93,88,5,,,,,,,,,,,,,,,,local,,,
